Date,Event,Type,Location,Source,URL,Sl. No,Month,Date.1,Month.1,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
10/04/1998,Good Friday Agreement,,,,,778,4,10,April,1998,UK,Peace Process,Northern Ireland,Ended most of the violence of the Troubles,Northern Irish population,UK and Irish Governments,Positive
11/05/1998,PokhranUnknownII Nuclear Tests,,,,,11,5,11,May,1998,India,Nuclear Test,Pokhran,India declared itself a nuclear state,International community,Atal Bihari Vajpayee,Mixed
28/05/1998,Pakistan's Nuclear Tests (ChagaiUnknownI),,,,,91,5,28,May,1998,Pakistan,Nuclear Test,"Chagai, Balochistan","Pakistan becomes a nuclear power, conducting its first successful nuclear tests.",International community,Government of Pakistan,Mixed
17/08/1998,Financial Crisis in Russia,,,,,253,8,17,August,1998,Russia,Economic Crisis,Russia,"Led to the Russian government defaulting on its debt, causing significant economic turmoil.",Russian citizens,Russian government,Negative
01/01/1999,Introduction of the Euro,,,,,855,1,1,January,1999,France,Economic,Paris,Adoption of the Euro as currency,European Union members,French Government,Positive
01/04/1999,Establishment of Nunavut,,,,,743,4,1,April,1999,Canada,Political,Northern Canada,"Creation of Nunavut as a territory, acknowledging Inuit selfUnknowngovernance.",Inuit population,"Canadian Government, Inuit leaders",Positive
01/04/1999,Establishment of Nunavut,,,,,759,4,1,April,1999,Canada,Political,Northern Canada,Creation of Nunavut provided a separate territory for the Inuit people.,Inuit population,Canadian Government,Positive
20/12/1999,Return of Macau,,,,,178,12,20,December,1999,China,Sovereignty Transition,Macau,"Similar to Hong Kong's return, marked the transfer of sovereignty over Macau from Portugal to China.",Residents of Macau,Portuguese and Chinese governments,Mixed
24/12/1999,Kandahar Hijacking (IC 814),,,,,32,12,24,December,1999,India,Terrorism,"Kandahar, Afghanistan",Highlighted issues in aviation security and terrorism,"Passengers, crew","Hijackers, Indian Government",Negative
07/05/2000,Putin's First Presidential Term,,,,,254,5,7,May,2000,Russia,Political,Russia,"Marked the beginning of Vladimir Putin's long tenure in power, significantly impacting Russian politics.",Russian citizens,Vladimir Putin,Mixed
01/07/2000,Introduction of Goods and Services Tax (GST),,,,,351,7,1,July,2000,Australia,Economic Policy,Australia,"Implemented a comprehensive tax system reform, affecting consumption taxation nationwide.",Australian consumers,John Howard,Mixed
15/09/2000,Sydney 2000 Summer Olympics,,,,,349,9,15,September,2000,Australia,International Sports Event,Sydney,"Showcased Australia's cultural diversity and hospitality, enhancing its global image.",Global audience,Australian Government,Positive
08/12/2000,AntiUnknownterrorism Pact,,,,,911,12,8,December,2000,Spain,Political,Spain,Bipartisan effort against ETA terrorism,Spanish population,Spanish political parties,Positive
15/06/2001,Shanghai Cooperation Organization Establishment,,,,,180,6,15,June,2001,China,International Organization,Shanghai,"Founded to promote multilateral cooperation in security, economy, and culture among member states.",Member states,"China, Russia, Central Asian states",Positive
11/09/2001,September 11 Attacks,,,,,662,9,11,September,2001,USA,Terrorism,"NY, VA, PA",Led to global War on Terror and significant changes in US policies.,"American citizens, global citizens",AlUnknownQaeda,Negative
26/10/2001,Enactment of the Patriot Act,,,,,686,10,26,October,2001,USA,Legislative,Nationwide,"Expanded surveillance powers postUnknown9/11, raising privacy concerns.",American citizens,"George W. Bush, Congress",Mixed
01/12/2001,2001 Economic Crisis,,,,,1130,12,1,December,2001,Argentina,Economic,Argentina,Severe economic crisis leading to social unrest and governmental changes,Argentinians,Fernando de la Rúa,Negative
11/12/2001,China Joins the World Trade Organization (WTO),,,,,198,12,11,December,2001,China,International Economic Integration,Geneva,"Marked China's deeper integration into the global economy, significantly boosting trade.","Global economy, Chinese exporters",Chinese government,Positive
13/12/2001,2001 Indian Parliament Attack,,,,,33,12,13,December,2001,India,Terrorism,New Delhi,Led to increased tensions between India and Pakistan,Indian political system,"Terrorist groups, Government of India",Negative
18/01/2002,End of Sierra Leone Civil War,,,,,1042,1,18,January,2002,Sierra Leone,Peace Agreement,Sierra Leone,"Marked the end of the civil war, beginning of peacebuilding efforts.",Sierra Leoneans,"Government of Sierra Leone, RUF, UN",Positive
22/03/2002,Gwadar Port Development,,,,,122,3,22,March,2002,Pakistan,Infrastructure,Gwadar,"Development of a major deepUnknownsea port in the Arabian Sea, aiming to enhance trade.","Pakistani economy, regional trade","Government of Pakistan, China",Positive
25/05/2002,China Airlines Flight 611,,,,,641,5,25,May,2002,Taiwan,Aviation,Taiwan Strait,"Disintegration in midUnknownflight due to structural failure, killing all 225 aboard.",225 passengers & crew,Boeing 747Unknown209B,Negative
31/05/2002,2002 FIFA World Cup,,,,,429,5,31,May,2002,South Korea,International Sports Event,"South Korea, Japan","CoUnknownhosted with Japan, this event marked South Korea's significant presence in international sports.",Global audience,"FIFA, South Korea, Japan",Positive
30/06/2002,FIFA World Cup Victory,,,,,1074,6,30,June,2002,Brazil,Sports,Sweden,Brazil wins its first FIFA World Cup boosting national pride,Brazilian population,Football team,Positive
23/10/2002,Moscow Theater Hostage Crisis,,,,,255,10,23,October,2002,Russia,Terrorism,Moscow,"A deadly siege carried out by Chechen terrorists, ending with numerous casualties.","Hostages, terrorists","Chechen terrorists, Russian security forces",Negative
01/01/2003,Lula da Silva's Presidency,,,,,1073,1,1,January,2003,Brazil,Political,Brazil,First workingUnknownclass president,Brazilian population,Luiz Inácio Lula da Silva,Positive
12/05/2003,Riyadh Compound Bombings,,,,,507,5,12,May,2003,Saudi Arabia,Terrorism,Riyadh,"AlUnknownQaeda attacks targeting expatriates underscored the internal threat of extremism, leading to security reforms.","Expatriates, Saudi citizens",AlUnknownQaeda,Negative
11/03/2004,2004 Madrid Train Bombings,,,,,895,3,11,March,2004,Spain,Terrorism,Madrid,Highlighted the threat of international terrorism,Citizens of Madrid,Terrorist groups,Negative
12/03/2004,Impeachment of President Roh MooUnknownhyun,,,,,430,3,12,March,2004,South Korea,Political,Seoul,"Roh's impeachment for alleged election law violations, highlighting South Korea's political volatility.",South Korean citizens,South Korean National Assembly,Mixed
01/09/2004,Beslan School Siege,,,,,256,9,1,September,2004,Russia,Terrorism,"Beslan, North Ossetia","A terrorist attack resulting in over 330 deaths, including many children.",Beslan residents,"Chechen terrorists, Russian security forces",Negative
26/12/2004,2004 Tsunami Impact,,,,,620,12,26,December,2004,Maldives,Natural Disaster,Indian Ocean,Devastation and subsequent reconstruction efforts highlighting vulnerability to climate change.,Maldivian citizens,Unknown,Negative
26/12/2004,Tsunami Disaster,,,,,127,12,26,December,2004,Sri Lanka,Natural Disaster,Coastal Sri Lanka,"One of the deadliest natural disasters in Sri Lanka, leading to significant loss of life and displacement.","Coastal residents, general population",Unknown,Negative
09/01/2005,Comprehensive Peace Agreement,,,,,1008,1,9,January,2005,Sudan,Peace Agreement,Sudan,"Ended the Second Sudanese Civil War, led to South Sudan's independence.","Sudanese, South Sudanese","SPLM, Government of Sudan",Positive
14/03/2005,AntiUnknownSecession Law Passed,,,,,202,3,14,March,2005,China,Legislation,Beijing,"Aimed at preventing Taiwan's independence through nonUnknownpeaceful means, escalating crossUnknownstrait tensions.",Chinese and Taiwanese populations,National People's Congress of China,Mixed
15/06/2005,Right to Information Act Enacted,,,,,20,6,15,June,2005,India,Legislation,India,Empowered citizens to seek information from public authorities,Indian citizens,Government of India,Positive
30/06/2005,Approval of SameUnknownSex Marriage,,,,,917,6,30,June,2005,Spain,Social Policy,Spain,Made Spain one of the first countries to legalize sameUnknownsex marriage,"LGBTQ+ community, Spanish population",Spanish Government,Positive
07/07/2005,London Underground Bombings,,,,,788,7,7,July,2005,UK,Terrorism,London,Major terrorist attack on public transport,London's population,Islamist terrorists,Negative
17/07/2005,UK Hosts the G8 Summit,,,,,807,7,17,July,2005,UK,International Politics,Gleneagles,Focus on climate change and Africa's development,Global leaders,UK Government,Positive
20/07/2005,Legalization of SameUnknownSex Marriage,,,,,739,7,20,July,2005,Canada,Legislative,Nationwide,Made Canada the fourth country worldwide to legalize sameUnknownsex marriage.,LGBTQ+ community,Paul Martin,Positive
01/08/2005,King Abdullah's Ascension,,,,,508,8,1,August,2005,Saudi Arabia,Leadership Change,Unknown,"Began a period marked by cautious reforms in education, economy, and increased openness to the world.",Saudi Arabian citizens,King Abdullah,Positive
29/08/2005,Hurricane Katrina,,,,,670,8,29,August,2005,USA,Natural Disaster,Gulf Coast,"One of the deadliest hurricanes in US history, causing widespread destruction and loss of life.",Gulf Coast residents,Unknown,Negative
08/10/2005,2005 Kashmir Earthquake,,,,,93,10,8,October,2005,Pakistan,Natural Disaster,"Kashmir, Pakistan","A devastating earthquake affecting Kashmir region, causing widespread damage and casualties.",Residents of Kashmir,"Government of Pakistan, International Aid",Negative
11/12/2005,Saudi Arabia Joins the WTO,,,,,505,12,11,December,2005,Saudi Arabia,Economic Integration,Unknown,Enhanced Saudi Arabia's global trade relations and required significant economic reforms for compliance.,Saudi Arabian economy,Saudi Government,Positive
29/05/2006,Sidoarjo Mud Flow,,,,,653,5,29,May,2006,Indonesia,Industrial Accident,Sidoarjo,"Gas exploration drilling mishap causing a mud volcano, displacing thousands and submerging villages.",Thousands displaced,Lapindo Brantas drilling rig,Negative
09/10/2006,North Korea's First Nuclear Test,,,,,423,10,9,October,2006,North Korea,Nuclear Test,Kilju County,"North Korea's first successful nuclear test, significantly impacting international relations and security dynamics.",International community,Kim JongUnknownil,Negative
15/11/2006,Women's Protection Bill,,,,,112,11,15,November,2006,Pakistan,Legislation,Islamabad,Aims to amend and strengthen laws related to women's rights and protection.,Women in Pakistan,Parliament of Pakistan,Positive
29/11/2006,Protection of Women Act,,,,,118,11,29,November,2006,Pakistan,Legislation,Islamabad,Enhances legal protections for women against violence and discrimination.,Women in Pakistan,Parliament of Pakistan,Positive
01/01/2007,France Bans Smoking in Public Places,,,,,856,1,1,January,2007,France,Health,Various,Public health measure to reduce smoking,French population,French Government,Positive
11/01/2007,Vietnam Joins the World Trade Organization,,,,,448,1,11,January,2007,Vietnam,International Trade Membership,Geneva,"Marked Vietnam's deeper integration into the global economy, promoting trade and investment.",Vietnamese economy,"WTO, Vietnamese Government",Positive
16/09/2007,OneUnknownTwoUnknownGO Airlines Flight 269,,,,,647,9,16,September,2007,Thailand,Aviation,Phuket,"Crashed on landing in poor weather conditions at Phuket, 90 fatalities.",130 passengers & crew,McDonnell Douglas MDUnknown82,Negative
24/09/2007,India Wins ICC T20 World Cup 2007,,,,,45,9,24,September,2007,India,Sports,South Africa,Boosted the popularity of T20 cricket in India and worldwide,Indian sports fans,Indian cricket team,Positive
26/12/2007,Law of Historical Memory,,,,,927,12,26,December,2007,Spain,Legislation,Spain,"Addressed the legacy of Franco's regime, civil war victims",Spanish population,Spanish Government,Positive
27/12/2007,Assassination of Benazir Bhutto,,,,,94,12,27,December,2007,Pakistan,Political,Rawalpindi,The assassination of the former Prime Minister of Pakistan and a major political figure.,Pakistani citizens,Unknown assailants,Negative
19/04/2008,Vietnam's First Communication Satellite,,,,,452,4,19,April,2008,Vietnam,Technological Advancement,Space,"Launched VINASATUnknown1, marking Vietnam's entry into the space age and enhancing communication capabilities.",Vietnamese people,Government of Vietnam,Positive
11/06/2008,Apology to Residential School Survivors,,,,,737,6,11,June,2008,Canada,Social Justice,Ottawa,Official apology to Indigenous peoples for the residential school system.,Indigenous communities,Stephen Harper,Positive
08/08/2008,China Hosts the Olympic Games,,,,,162,8,8,August,2008,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive
08/08/2008,2008 Beijing Olympics,,,,,179,8,8,August,2008,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive
08/08/2008,2008 Beijing Olympic Games,,,,,199,8,8,August,2008,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive
22/10/2008,Launch of ChandrayaanUnknown1,,,,,52,10,22,October,2008,India,Space Exploration,Moon,"India's first lunar mission, contributing significant findings like water molecules on Moon",Scientific community,Indian Space Research Organisation (ISRO),Positive
26/11/2008,Mumbai Terror Attacks,,,,,12,11,26,November,2008,India,Terrorism,Mumbai,Highlighted the threat of international terrorism,Citizens of Mumbai,LashkarUnknowneUnknownTaiba,Negative
06/04/2009,L'Aquila Earthquake,,,,,883,4,6,April,2009,Italy,Natural Disaster,L'Aquila,Significant loss of life and damage to heritage sites,L'Aquila population,Nature,Negative
18/05/2009,End of the Civil War,,,,,128,5,18,May,2009,Sri Lanka,Military,Mullaitivu,Ended nearly three decades of conflict between the Sri Lankan government and LTTE.,"Sri Lankan citizens, especially Tamils","Mahinda Rajapaksa, Sri Lankan Armed Forces",Positive
25/05/2009,Second Nuclear Test,,,,,433,5,25,May,2009,North Korea,Nuclear Test,North Korea,"Escalated tensions with the international community, underlining North Korea's commitment to its nuclear program.",International community,Kim JongUnknownil,Negative
30/06/2009,Opening of BandraUnknownWorli Sea Link,,,,,37,6,30,June,2009,India,Infrastructure,Mumbai,Improved connectivity and reduced travel time in Mumbai,Commuters in Mumbai,Government of Maharashtra,Positive
04/08/2009,Right to Education Act,,,,,34,8,4,August,2009,India,Legislation,India,Ensured free and compulsory education for children,Children aged 6 to 14,Government of India,Positive
19/04/2010,18th Amendment to the Constitution,,,,,116,4,19,April,2010,Pakistan,Constitutional Amendment,Islamabad,A landmark amendment that devolved significant powers from the federal government to the provinces.,Pakistani citizens,Parliament of Pakistan,Positive
01/05/2010,Shanghai World Expo,,,,,204,5,1,May,2010,China,International Exhibition,Shanghai,"Showcased China's cultural and economic global integration, attracting participants and visitors worldwide.",International visitors,"Shanghai World Expo Bureau, International Participants",Positive
18/05/2010,Victory over Terrorism Day,,,,,134,5,18,May,2010,Sri Lanka,Commemoration,Nationwide,Marks the end of the civil war and the defeat of LTTE.,Sri Lankan citizens,Government of Sri Lanka,Positive
24/06/2010,Australia's First Female Prime Minister,,,,,357,6,24,June,2010,Australia,Political Milestone,Australia,"Julia Gillard became the first female Prime Minister, representing a historic moment in Australian politics.",Australian citizens,Julia Gillard,Positive
11/07/2010,2010 FIFA World Cup Victory,,,,,925,7,11,July,2010,South Africa,Sports,Johannesburg,"First World Cup win, boosted national pride","Spanish population, international",Spanish National Football Team,Positive
15/07/2010,SameUnknownSex Marriage Law,,,,,1131,7,15,July,2010,Argentina,Legal,Argentina,First country in Latin America to legalize sameUnknownsex marriage,Argentinians,Argentine Legislature,Positive
10/10/2010,1000th Anniversary of Hanoi,,,,,449,10,10,October,2010,Vietnam,Cultural Celebration,Hanoi,"Celebrated the founding of the city, emphasizing Vietnam's rich history and cultural heritage.",Vietnamese people,Government of Vietnam,Positive
18/12/2010,Tunisian Revolution,,,,,1012,12,18,December,2010,Tunisia,Revolution,Tunisia,"Triggered the Arab Spring, leading to democratization.",Tunisians,"Mohamed Bouazizi, Civil Society",Positive
25/01/2011,Egyptian Revolution of 2011,,,,,1046,1,25,January,2011,Egypt,Revolution,"Cairo, Egypt",Led to the overthrow of President Hosni Mubarak.,Egyptians,"Egyptian protestors, military",Mixed
11/03/2011,Fukushima Daiichi Nuclear Disaster,,,,,649,3,11,March,2011,Japan,Nuclear Accident,Fukushima Prefecture,"Earthquake and tsunami led to nuclear meltdowns, releasing significant amounts of radioactive material.",Residents of Fukushima,Fukushima Daiichi Nuclear Power Plant,Negative
11/03/2011,Fukushima Daiichi Nuclear Disaster,,,,,305,3,11,March,2011,Japan,Nuclear Accident,Fukushima,"Triggered by a massive earthquake and tsunami, it was one of the worst nuclear disasters in history.","Residents of affected area, global community","TEPCO, Japanese government",Negative
09/07/2011,Independence from Sudan,,,,,1050,7,9,July,2011,South Sudan,Independence,South Sudan,"Became the newest country in the world, following a referendum.",South Sudanese,"SPLM, International Community",Positive
23/07/2011,Wenzhou Train Collision,,,,,650,7,23,July,2011,China,Rail,Wenzhou,"HighUnknownspeed train collision due to signal failure, causing 40 deaths and over 190 injuries.",Passengers,HighUnknownspeed Trains,Negative
20/10/2011,ETA's Permanent Ceasefire,,,,,918,10,20,October,2011,Spain,Peace/Security,Basque Country,End of ETA's armed campaign for Basque independence,"Basque population, Spanish population","ETA, Spanish Government",Positive
