Sl. No,Event,Month,Date,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
11,PokhranUnknownII Nuclear Tests,5,1998-05-11,11,May,1998,India,Nuclear Test,Pokhran,India declared itself a nuclear state,International community,Atal Bihari Vajpayee,Mixed
91,Pakistan's Nuclear Tests (ChagaiUnknownI),5,1998-05-28,28,May,1998,Pakistan,Nuclear Test,"Chagai, Balochistan","Pakistan becomes a nuclear power, conducting its first successful nuclear tests.",International community,Government of Pakistan,Mixed
119,National Database and Registration Authority (NADRA) Establishment,Unknown,Unknown,1998,Unknown,1998,Pakistan,Government Agency,Islamabad,Established to maintain a secure and efficient national identity system.,Pakistani citizens,Government of Pakistan,Positive
253,Financial Crisis in Russia,8,1998-08-17,17,August,1998,Russia,Economic Crisis,Russia,"Led to the Russian government defaulting on its debt, causing significant economic turmoil.",Russian citizens,Russian government,Negative
392,New Zealand Signs Kyoto Protocol,Unknown,Unknown,Unknown,Unknown,1998,New Zealand,International Agreement,"Kyoto, Japan","Committed New Zealand to reducing greenhouse gas emissions, aligning with global efforts to combat climate change.",New Zealanders,New Zealand Government,Positive
778,Good Friday Agreement,4,1998-04-10,10,April,1998,UK,Peace Process,Northern Ireland,Ended most of the violence of the Troubles,Northern Irish population,UK and Irish Governments,Positive
19,Kargil War,5,Unknown,Unknown,May,1999,India,Military Conflict,"Kargil, Ladakh",India regained control of Kargil; heightened patriotism,Indian Armed Forces,"Indian Government, Pakistani Military",Positive
32,Kandahar Hijacking (IC 814),12,1999-12-24,24,December,1999,India,Terrorism,"Kandahar, Afghanistan",Highlighted issues in aviation security and terrorism,"Passengers, crew","Hijackers, Indian Government",Negative
92,Kargil Conflict,Unknown,Unknown,Unknown,Unknown,1999,Pakistan,Military Conflict,"Kargil, Kashmir",A military conflict between India and Pakistan in the Kargil district of Kashmir.,Citizens of India and Pakistan,India and Pakistan,Negative
178,Return of Macau,12,1999-12-20,20,December,1999,China,Sovereignty Transition,Macau,"Similar to Hong Kong's return, marked the transfer of sovereignty over Macau from Portugal to China.",Residents of Macau,Portuguese and Chinese governments,Mixed
617,Introduction of Television,6,Unknown,Unknown,June,1999,Bhutan,Cultural Change,Bhutan,"Marking the end of Bhutan's isolation, introduction of television and the internet.",Bhutanese citizens,Jigme Singye Wangchuck,Positive
743,Establishment of Nunavut,4,1999-04-01,1,April,1999,Canada,Political,Northern Canada,"Creation of Nunavut as a territory, acknowledging Inuit selfUnknowngovernance.",Inuit population,"Canadian Government, Inuit leaders",Positive
759,Establishment of Nunavut,4,1999-04-01,1,April,1999,Canada,Political,Northern Canada,Creation of Nunavut provided a separate territory for the Inuit people.,Inuit population,Canadian Government,Positive
855,Introduction of the Euro,1,1999-01-01,1,January,1999,France,Economic,Paris,Adoption of the Euro as currency,European Union members,French Government,Positive
254,Putin's First Presidential Term,5,2000-05-07,7,May,2000,Russia,Political,Russia,"Marked the beginning of Vladimir Putin's long tenure in power, significantly impacting Russian politics.",Russian citizens,Vladimir Putin,Mixed
349,Sydney 2000 Summer Olympics,9,2000-09-15,15,September,2000,Australia,International Sports Event,Sydney,"Showcased Australia's cultural diversity and hospitality, enhancing its global image.",Global audience,Australian Government,Positive
351,Introduction of Goods and Services Tax (GST),7,2000-07-01,1,July,2000,Australia,Economic Policy,Australia,"Implemented a comprehensive tax system reform, affecting consumption taxation nationwide.",Australian consumers,John Howard,Mixed
911,AntiUnknownterrorism Pact,12,2000-12-08,8,December,2000,Spain,Political,Spain,Bipartisan effort against ETA terrorism,Spanish population,Spanish political parties,Positive
1040,Land Reform Program Begins,Unknown,Unknown,Unknown,Unknown,2000,Zimbabwe,Land Reform,Zimbabwe,Controversial redistribution of land from white to black Zimbabweans.,Zimbabweans,Robert Mugabe,Mixed
33,2001 Indian Parliament Attack,12,2001-12-13,13,December,2001,India,Terrorism,New Delhi,Led to increased tensions between India and Pakistan,Indian political system,"Terrorist groups, Government of India",Negative
180,Shanghai Cooperation Organization Establishment,6,2001-06-15,15,June,2001,China,International Organization,Shanghai,"Founded to promote multilateral cooperation in security, economy, and culture among member states.",Member states,"China, Russia, Central Asian states",Positive
198,China Joins the World Trade Organization (WTO),12,2001-12-11,11,December,2001,China,International Economic Integration,Geneva,"Marked China's deeper integration into the global economy, significantly boosting trade.","Global economy, Chinese exporters",Chinese government,Positive
353,"""Tampa"" Refugee Crisis",8,Unknown,Unknown,August,2001,Australia,Humanitarian/Political,Indian Ocean,Sparked national and international debate on Australia's asylum seeker policies.,Asylum seekers,John Howard,Negative
662,September 11 Attacks,9,2001-09-11,11,September,2001,USA,Terrorism,"NY, VA, PA",Led to global War on Terror and significant changes in US policies.,"American citizens, global citizens",AlUnknownQaeda,Negative
686,Enactment of the Patriot Act,10,2001-10-26,26,October,2001,USA,Legislative,Nationwide,"Expanded surveillance powers postUnknown9/11, raising privacy concerns.",American citizens,"George W. Bush, Congress",Mixed
1043,Gacaca Courts Initiated,Unknown,Unknown,Unknown,Unknown,2001,Rwanda,Justice System,Rwanda,"Community courts to address the genocide, promoting reconciliation and justice.",Rwandans,Rwandan Government,Mixed
1130,2001 Economic Crisis,12,2001-12-01,1,December,2001,Argentina,Economic,Argentina,Severe economic crisis leading to social unrest and governmental changes,Argentinians,Fernando de la Rúa,Negative
1136,Cacerolazo Protests,12,Unknown,Unknown,December,2001,Argentina,Social Movement,Argentina,Mass protests against the government's handling of the economic crisis,Argentinians,Unknown,Positive
122,Gwadar Port Development,3,2002-03-22,22,March,2002,Pakistan,Infrastructure,Gwadar,"Development of a major deepUnknownsea port in the Arabian Sea, aiming to enhance trade.","Pakistani economy, regional trade","Government of Pakistan, China",Positive
133,2002 Ceasefire Agreement with LTTE,Unknown,Unknown,22,February,2002,Sri Lanka,Peace Process,Nationwide,"A temporary halt in hostilities, aiming for a lasting peace solution.",ConflictUnknownaffected populations,"Ranil Wickremesinghe, LTTE",Mixed
